,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
2268,2,Santo Antônio,113,2,1,1,1,1,1,1,0,1.0,1130000
2269,2,Fundação,61,2,1,1,0,1,1,1,1,450.0,331000
2270,2,Cerâmica,90,2,3,3,0,0,0,0,0,600.0,990000
2271,2,Santa Paula,106,3,1,1,1,0,0,1,1,385.0,550000
2272,2,Cerâmica,68,2,3,3,1,1,0,1,1,561.0,6498000
2273,2,Barcelona,68,2,3,3,0,0,1,1,0,14.0,450000
2274,2,Barcelona,67,2,2,2,0,0,1,1,0,775.0,455000
2275,2,Barcelona,88,3,1,1,0,1,1,1,1,450.0,450000
2276,2,Santo Antônio,62,2,2,2,1,1,1,1,0,878.0,475000
2277,2,Mauá,79,3,1,1,0,1,1,0,1,738.0,495000
2278,2,Nova Gerty,40,1,2,2,0,1,1,1,1,395.0,319000
2279,1,Boa Vista,127,3,2,2,0,1,1,1,0,410.0,530000
2280,2,Fundação,68,2,3,3,0,1,1,0,1,447.0,420000
2281,2,Santo Antônio,160,4,2,2,0,0,1,0,0,482.0,1050000
2282,2,Centro,70,2,1,1,0,1,1,1,1,478.0,500000
2283,2,Santa Maria,150,2,1,1,1,0,1,1,0,105.0,750000
2284,2,Centro,150,4,1,1,0,1,1,1,1,351.0,630000
2285,2,Osvaldo Cruz,61,2,1,1,0,0,1,0,0,430.0,510000
2286,2,Santa Maria,76,2,3,3,0,1,1,1,1,535.0,4199000
2287,2,Boa Vista,79,3,2,2,0,1,1,1,1,105.0,700000
2288,2,Olímpico,55,2,3,3,1,1,1,1,0,500.0,2969000
2289,2,Santa Paula,174,3,3,3,0,0,1,1,1,520.0,990000
2290,2,Boa Vista,65,2,5,5,1,1,0,0,0,19.0,365000
2291,2,Olímpico,90,2,3,3,1,0,1,1,0,511.0,850000
2292,2,Santa Paula,90,3,1,1,0,1,1,1,1,515.0,650000
2293,2,Santa Paula,180,3,2,2,1,0,0,1,1,508.0,1200000
2294,2,Santa Maria,67,3,2,2,0,1,1,1,1,550.0,240000
2295,2,Barcelona,65,2,2,2,1,1,1,1,0,1.0,435000
2296,2,Olímpico,70,2,1,1,0,1,1,1,1,450.0,395000
2297,2,Santa Maria,75,2,1,1,1,0,0,1,1,385.0,460000
2298,2,Santa Maria,160,3,2,2,1,1,0,1,1,561.0,7499000
2299,2,Santa Paula,84,3,1,1,0,0,1,0,0,14.0,750000
2300,2,Nova Gerty,140,2,2,2,0,0,0,0,0,775.0,500000
2301,2,Cerâmica,56,2,2,2,0,1,1,1,1,450.0,459000
2302,2,Cerâmica,68,2,2,2,0,1,1,1,1,878.0,720000
2303,2,Santa Maria,64,2,1,1,0,0,1,1,0,738.0,390000
2304,2,Cerâmica,65,2,2,2,0,1,1,1,1,395.0,430000
2305,2,Jardim Sao Caetano,80,3,1,1,0,0,1,1,0,410.0,495000
2306,2,Olímpico,264,3,2,2,0,1,1,1,1,447.0,1980000
2307,2,Santo Antônio,113,2,2,2,1,1,1,1,0,482.0,1130000
2308,2,Fundação,61,2,2,2,1,1,1,1,0,478.0,331000
2309,2,Cerâmica,90,2,3,3,0,1,1,0,1,568.0,990000
2310,2,Santa Paula,106,3,2,2,0,1,1,1,1,430.0,550000
2311,2,Cerâmica,68,2,3,3,0,1,1,1,0,105.0,6498000
